Replicate,File Name,Molecule List,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Isotope Label Type,Best Retention Time,Acquired Time,Molecule Note,Max Height,Total Area
INR_10_C,6495c_CE_pos_INR_10C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.39,5/1/2024 18:19,DETECTED. RT confirmed at 8.4,3061,11340
INR_100_A,6495c_CE_pos_INR_100A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/1/2024 21:43,DETECTED. RT confirmed at 8.4,2988,14354
INR_100_B,6495c_CE_pos_INR_100B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.4,5/1/2024 17:11,DETECTED. RT confirmed at 8.4,4359,19149
INR_100_C,6495c_CE_pos_INR_100C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/2/2024 1:59,DETECTED. RT confirmed at 8.4,7716,27166
INR_1000_A,6495c_CE_pos_INR_1000A.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.34,5/1/2024 21:09,DETECTED. RT confirmed at 8.4,2267,8524
INR_1000_B,6495c_CE_pos_INR_1000B.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.37,5/1/2024 18:53,DETECTED. RT confirmed at 8.4,2542,11160
INR_1000_C,6495c_CE_pos_INR_1000C.d,Mono-unsaturated Fatty Acids_VeryLong,(C24:1) 15-Tetracosenoic acid,C24H46O2,365.342505,[M-H],light,8.35,5/2/2024 2:16,DETECTED. RT confirmed at 8.4,3396,14170
wakeup_01,6495c_CE_pos_wakeup_01.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.84,5/1/2024 8:41,DETECTED. RT confirmed at 6.7,0,0
cleanup_01,6495c_CE_pos_cleanup_01.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.84,5/2/2024 3:24,DETECTED. RT confirmed at 6.7,0,0
PQC_01,6495c_CE_pos_PQC_01.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.78,5/1/2024 13:47,DETECTED. RT confirmed at 6.7,1611,7844
PQC_02,6495c_CE_pos_PQC_02.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.8,5/1/2024 14:04,DETECTED. RT confirmed at 6.7,1407,8612
PQC_03,6495c_CE_pos_PQC_03.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.79,5/1/2024 14:21,DETECTED. RT confirmed at 6.7,1337,8881
PQC_04,6495c_CE_pos_PQC_04.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.78,5/1/2024 14:38,DETECTED. RT confirmed at 6.7,1469,8153
PQC_05,6495c_CE_pos_PQC_05.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.79,5/1/2024 16:37,DETECTED. RT confirmed at 6.7,1422,7732
PQC_06,6495c_CE_pos_PQC_06.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.76,5/1/2024 18:36,DETECTED. RT confirmed at 6.7,1329,7527
PQC_07,6495c_CE_pos_PQC_07.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.73,5/1/2024 20:35,DETECTED. RT confirmed at 6.7,1285,7484
PQC_08,6495c_CE_pos_PQC_08.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.7,5/1/2024 22:35,DETECTED. RT confirmed at 6.7,1139,6714
PQC_09,6495c_CE_pos_PQC_09.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/2/2024 0:34,DETECTED. RT confirmed at 6.7,1147,6161
PQC_10,6495c_CE_pos_PQC_10.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/2/2024 2:33,DETECTED. RT confirmed at 6.7,1084,5645
mb_A_01,6495c_CE_pos_mb_A_01.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,7.15,5/1/2024 13:13,DETECTED. RT confirmed at 6.7,353,186
mb_A_02,6495c_CE_pos_mb_A_02.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,7.04,5/2/2024 2:50,DETECTED. RT confirmed at 6.7,302,317
mb_B_01,6495c_CE_pos_mb_B_01.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,7.12,5/1/2024 13:30,DETECTED. RT confirmed at 6.7,386,371
mb_B_02,6495c_CE_pos_mb_B_02.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,7.02,5/2/2024 3:07,DETECTED. RT confirmed at 6.7,337,225
sb_00,6495c_CE_pos_sb_00.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.84,5/1/2024 8:58,DETECTED. RT confirmed at 6.7,0,0
sb_01,6495c_CE_pos_sb_01.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.84,5/1/2024 10:06,DETECTED. RT confirmed at 6.7,0,0
sb_02,6495c_CE_pos_sb_02.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.84,5/1/2024 12:56,DETECTED. RT confirmed at 6.7,0,0
WT_0_A,6495c_CE_pos_WT_0A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/2/2024 1:42,DETECTED. RT confirmed at 6.7,4905,29176
WT_0_B,6495c_CE_pos_WT_0B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.78,5/1/2024 16:20,DETECTED. RT confirmed at 6.7,5166,32768
WT_0_C,6495c_CE_pos_WT_0C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.78,5/1/2024 16:54,DETECTED. RT confirmed at 6.7,6343,43714
WT_10_A,6495c_CE_pos_WT_10A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/1/2024 22:18,DETECTED. RT confirmed at 6.7,1930,11278
WT_10_B,6495c_CE_pos_WT_10B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.78,5/1/2024 16:03,DETECTED. RT confirmed at 6.7,1147,5315
WT_10_C,6495c_CE_pos_WT_10C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.8,5/1/2024 17:45,DETECTED. RT confirmed at 6.7,1405,7271
WT_100_A,6495c_CE_pos_WT_100A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.74,5/1/2024 20:52,DETECTED. RT confirmed at 6.7,1382,7997
WT_100_B,6495c_CE_pos_WT_100B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.81,5/1/2024 15:29,DETECTED. RT confirmed at 6.7,1021,5166
WT_100_C,6495c_CE_pos_WT_100C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/2/2024 0:00,DETECTED. RT confirmed at 6.7,1014,5461
WT_1000_A,6495c_CE_pos_WT_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/1/2024 21:26,DETECTED. RT confirmed at 6.7,1015,4658
WT_1000_B,6495c_CE_pos_WT_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.77,5/1/2024 17:28,DETECTED. RT confirmed at 6.7,1117,5774
WT_1000_C,6495c_CE_pos_WT_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/1/2024 20:18,DETECTED. RT confirmed at 6.7,957,5101
IN_0_A,6495c_CE_pos_IN_0A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.73,5/1/2024 19:44,DETECTED. RT confirmed at 6.7,2458,16900
IN_0_B,6495c_CE_pos_IN_0B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/2/2024 1:25,DETECTED. RT confirmed at 6.7,2585,15943
IN_0_C,6495c_CE_pos_IN_0C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.77,5/1/2024 18:02,DETECTED. RT confirmed at 6.7,3154,19982
IN_10_A,6495c_CE_pos_IN_10A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/1/2024 23:26,DETECTED. RT confirmed at 6.7,998,4703
IN_10_B,6495c_CE_pos_IN_10B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.81,5/1/2024 15:12,DETECTED. RT confirmed at 6.7,1400,7691
IN_10_C,6495c_CE_pos_IN_10C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.76,5/1/2024 19:27,DETECTED. RT confirmed at 6.7,1183,6229
IN_100_A,6495c_CE_pos_IN_100A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.73,5/2/2024 1:08,DETECTED. RT confirmed at 6.7,675,2586
IN_100_B,6495c_CE_pos_IN_100B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.73,5/1/2024 19:10,DETECTED. RT confirmed at 6.7,600,1857
IN_100_C,6495c_CE_pos_IN_100C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.73,5/1/2024 20:02,DETECTED. RT confirmed at 6.7,604,3063
IN_1000_A,6495c_CE_pos_IN_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/2/2024 0:51,DETECTED. RT confirmed at 6.7,470,1233
IN_1000_B,6495c_CE_pos_IN_1000B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.79,5/1/2024 14:55,DETECTED. RT confirmed at 6.7,534,1788
IN_1000_C,6495c_CE_pos_IN_1000C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.69,5/1/2024 23:09,DETECTED. RT confirmed at 6.7,600,2357
INR_0_A,6495c_CE_pos_INR_0A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.73,5/2/2024 0:17,DETECTED. RT confirmed at 6.7,991,8308
INR_0_B,6495c_CE_pos_INR_0B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.7,5/1/2024 23:43,DETECTED. RT confirmed at 6.7,984,5564
INR_0_C,6495c_CE_pos_INR_0C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.79,5/1/2024 15:46,DETECTED. RT confirmed at 6.7,1699,10779
INR_10_A,6495c_CE_pos_INR_10A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.71,5/1/2024 22:52,DETECTED. RT confirmed at 6.7,856,4078
INR_10_B,6495c_CE_pos_INR_10B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/1/2024 22:00,DETECTED. RT confirmed at 6.7,700,2972
INR_10_C,6495c_CE_pos_INR_10C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.76,5/1/2024 18:19,DETECTED. RT confirmed at 6.7,566,1895
INR_100_A,6495c_CE_pos_INR_100A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/1/2024 21:43,DETECTED. RT confirmed at 6.7,547,1760
INR_100_B,6495c_CE_pos_INR_100B.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.81,5/1/2024 17:11,DETECTED. RT confirmed at 6.7,733,3748
INR_100_C,6495c_CE_pos_INR_100C.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.7,5/2/2024 1:59,DETECTED. RT confirmed at 6.7,1103,5020
INR_1000_A,6495c_CE_pos_INR_1000A.d,Poly-unsaturated Fatty Acids_VeryLong,"(C22:2) 13,16-docosadienoic acid",C22H40O2,335.295555,[M-H],light,6.72,5/1/2024 21:09,DETECTED. RT confirmed at 6.7,650,2728
